City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kloulklubed,PW,84.61,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
6,Port Blair,IN,82.98,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
7,Eydhafushi,MV,82.27,overcast clouds,5.1033,73.0708,Soneva Fushi
12,Quatre Cocos,MU,75.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
21,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
22,Atuona,PF,77.23,overcast clouds,-9.8,-139.0333,Villa Enata
26,Vulcan,RO,87.71,clear sky,45.3833,23.2667,Paradisul verde
28,Seoul,KR,81.79,light rain,37.5683,126.9778,롯데호텔 서울
31,East London,ZA,76.12,broken clouds,-33.0153,27.9116,Tu Casa
35,Mormugao,IN,81.66,broken clouds,15.4,73.8,Coconut Creek Resort
36,Zhigansk,RU,79.39,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
41,Sinnamary,GF,76.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
42,Tual,ID,81.86,broken clouds,-5.6667,132.75,Grand Vilia Hotel
43,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
45,Nisia Floresta,BR,75.58,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
49,Kupang,ID,81.18,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
50,Haimen,CN,82.29,light rain,23.1935,116.6142,Jinghao Business Hotel
52,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
54,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
64,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Hobyo,SO,84.79,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
73,Itarema,BR,76.01,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
75,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
78,Aksu,CN,89.94,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
80,Labuhan,ID,85.19,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
82,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
83,Butaritari,KI,83.5,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
87,Voskresenskoye,RU,80.15,broken clouds,56.8381,45.4317,AOM OTABIXA ВОСКРЕСЕНСКОЕ ОДМОСКОВЬЕ
89,Victoria,HK,86.97,light rain,22.2855,114.1577,Mini Hotel Central
90,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Lindsey Hôtel
94,Bubaque,GW,78.62,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
101,Nkan,GA,80.37,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
102,Saint-Leu,RE,76.06,light rain,-21.15,55.2833,La Caz Oceane
107,Sakhon Nakhon,TH,87.75,broken clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
112,Prabumulih,ID,88.09,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
113,San Patricio,US,84.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
114,Hambantota,LK,85.8,overcast clouds,6.1241,81.1185,Bungalow 63
118,Siavonga,ZM,75.45,scattered clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
119,Pangkalanbuun,ID,79.61,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
121,Juigalpa,NI,75.94,overcast clouds,12.1063,-85.3645,Ethos Inn
122,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
124,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
130,Mount Pleasant,US,82.98,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
131,Balabac,PH,84.24,broken clouds,7.9868,117.0645,Sing and Swing Lodge
137,Hithadhoo,MV,82.2,moderate rain,-0.6,73.0833,Scoop Guest House
138,Santa Marta,CO,82.98,clear sky,11.2408,-74.199,Casa de Isabella
139,Kavieng,PG,82.49,clear sky,-2.5744,150.7967,Nusa Island Retreat
141,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
145,Namibe,AO,82.62,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
148,Kyle,US,80.04,few clouds,29.9984,-97.8715,La Quinta Inn & Suites by Wyndham Kyle - Austin South
150,Cabo San Lucas,MX,82.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
152,Potiskum,NG,83.61,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
153,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
154,Del Rio,US,84.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
161,Biltine,TD,84.81,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
166,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
172,Wanning,CN,86.7,moderate rain,18.8003,110.3967,Paradise Hotel
181,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
184,Saint George,US,78.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
186,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
189,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
190,Omboue,GA,76.73,overcast clouds,-1.5746,9.2618,Hotel Olako
193,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
201,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
203,Banda Aceh,ID,84.4,overcast clouds,5.5577,95.3222,Sulthan Hotel International
205,Faanui,PF,77.27,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
206,Coahuayana,MX,76.32,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
208,Chermen,RU,87.04,clear sky,43.1486,44.7069,"БРОНЬГостиница/Hotel/ Цхинвале,ЮжнаяОсетия ЗВОНИТЕ БУДЕМ БРОНИРОВАТЬ ДЛЯ ВАС"
210,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
211,Katsuura,JP,86.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
226,Hasaki,JP,82.69,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
227,Gorontalo,ID,79.38,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
236,Laguna,US,79.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
238,Surab,PK,88.27,clear sky,28.4914,66.2585,Bismillah Hotel
248,Kuala Terengganu,MY,84.15,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
250,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
255,Magomeni,TZ,86.49,few clouds,-6.8,39.25,Conway Hotel
256,Lensk,RU,79.79,overcast clouds,60.7253,114.9278,ТинОрС
259,Meulaboh,ID,79.32,overcast clouds,4.1363,96.1285,Kost Pria
260,Port-Gentil,GA,76.69,scattered clouds,-0.7193,8.7815,Fengshui Residence
261,Yuksekova,TR,80.35,broken clouds,37.5736,44.2872,Hotel Grand Yılmaz
262,Singaraja,ID,81.1,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
263,Delmas,HT,81.32,few clouds,18.5447,-72.3028,Idéal Villa Hôtel
265,Gupitan,PH,79.74,overcast clouds,7.7758,125.6406,Tagtugonan Water Falls
266,Kavaratti,IN,82.71,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
268,Kalmunai,LK,87.53,overcast clouds,7.4167,81.8167,VS Villa
271,Diffa,NE,89.65,overcast clouds,13.3154,12.6113,ProDAF/Diffa
272,Hede,CN,82.26,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
273,Mantua,IT,84.97,broken clouds,45.1667,10.7833,Hotel la Favorita
280,Tabuk,PH,83.95,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
290,Maddela,PH,84.52,overcast clouds,16.3414,121.6849,Tolentino bridal entourage
295,Ryotsu,JP,80.56,few clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
301,Ambon,ID,80.47,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
305,Harper,LR,78.69,overcast clouds,4.375,-7.7169,Screensaver
307,Sao Filipe,CV,75.58,broken clouds,14.8961,-24.4956,Hotel Xaguate
310,West Odessa,US,81.88,few clouds,31.8424,-102.4988,Corporate Mobile Housing
311,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
316,Tafresh,IR,86.72,scattered clouds,34.692,50.013,هتل یاس سفید
321,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
328,Fengrun,CN,78.91,scattered clouds,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
330,Mumford,GH,79.5,overcast clouds,5.2618,-0.759,Spanish Villa
332,Gizo,SB,81.03,light rain,-8.103,156.8419,Imagination Island
338,Korla,CN,88.92,scattered clouds,41.7597,86.1469,Gulisitan Hotel
339,Tanete,ID,77.0,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
340,Asau,RO,88.39,clear sky,46.4333,26.4,Casa Mika Ciobanus
342,Neiafu,TO,76.75,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
347,San Policarpo,PH,86.59,overcast clouds,12.1791,125.5072,JM Lodge
355,Pobe,BJ,83.77,overcast clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
357,Biak,ID,77.74,overcast clouds,-0.9131,122.8766,Penginapan Kim
358,Trincomalee,LK,89.28,overcast clouds,8.5711,81.2335,Welcombe Hotel
360,Dawei,MM,79.88,overcast clouds,14.0833,98.2,Hotel Dawei
370,Tura,IN,80.89,light rain,25.5198,90.2201,Hotel RIKMAN Continental
374,Sujiatun,CN,76.21,overcast clouds,41.6592,123.3392,Hunnan Di Yicun Northern District
375,Sikar,IN,84.38,overcast clouds,27.6167,75.15,Hotel Pink Shark
377,Faya,SA,78.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
378,Tangjiazhuang,CN,79.7,light rain,39.7333,118.45,Peace Hotel
381,Alugan,PH,86.27,overcast clouds,12.2188,125.4808,JM Lodge
382,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
385,Yumbe,UG,80.85,overcast clouds,3.4651,31.2469,Terrain Hotel
387,Apple Valley,US,79.36,clear sky,34.5008,-117.1859,Black Horse Motel
389,Manggar,ID,83.79,broken clouds,-2.8833,108.2667,Guest Hotel
392,Dingle,PH,80.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
395,Saurimo,AO,82.63,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
396,Morondava,MG,77.81,clear sky,-20.2833,44.2833,La Case Bambou
404,Pabrade,LT,75.34,overcast clouds,55.0,25.7833,Pavovere 2
409,Plugari,RO,86.68,clear sky,47.4833,27.1,"""La Anjela(club de striptis și proxenetism)"
410,Richards Bay,ZA,80.11,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
413,Dongsheng,CN,76.21,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
414,Maruim,BR,76.96,overcast clouds,-10.7375,-37.0817,Pousada Acauã Do Posto Br
415,Gonaives,HT,78.31,scattered clouds,19.45,-72.6833,Vertières Doux Séjour
423,Savelugu,GH,81.88,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
424,Namie,JP,82.78,clear sky,37.4833,141.0,いこいの村なみえ
426,Tukrah,LY,89.42,clear sky,32.5341,20.5791,Lokta restaurant
433,Yokadouma,CM,83.23,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
435,Bengkulu,ID,80.17,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
436,La Democracia,GT,79.86,overcast clouds,14.2308,-90.9472,BACSA SUR
439,Mao,ES,75.76,few clouds,39.8885,4.2658,ARTIEM Capri
445,Radzyn Podlaski,PL,79.45,broken clouds,51.7833,22.6167,Hotel Manhatan
447,Svetlogorsk,BY,81.12,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
448,Axim,GH,80.96,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
449,Ishurdi,BD,82.49,light rain,24.1333,89.0833,Rafiur Rahman
458,Serov,RU,78.73,scattered clouds,59.6033,60.5787,Five Stars Hotel
474,Hounde,BF,78.53,broken clouds,11.5,-3.5167,Carrefour où ouvriers dorment
476,Zhaotong,CN,75.25,clear sky,27.3167,103.7167,Jingguan Home
481,Redding,US,77.72,smoke,40.5865,-122.3917,Redding Inn & Suites
483,Kuryk,KZ,89.49,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
484,Cangzhou,CN,84.85,light rain,38.3167,116.8667,Jinji Express Hotel
486,Manga,BF,81.97,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
490,Shimoda,JP,79.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
495,Estelle,US,80.6,mist,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
496,Sukumo,JP,78.91,overcast clouds,32.9333,132.7333,Sukumojo
