City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kloulklubed,PW,7.0419,134.2556,84.61,74,100,12.35,overcast clouds
1,Pevek,RU,69.7008,170.3133,32.99,96,96,16.46,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,65.52,55,69,14.97,broken clouds
3,Vaini,TO,-21.2,-175.2,71.76,83,75,23.02,light rain
4,Taguatinga,BR,-12.3857,-46.5711,67.75,64,53,8.08,broken clouds
5,Albany,US,42.6001,-73.9662,59.04,89,43,3.38,scattered clouds
6,Port Blair,IN,11.6667,92.75,82.98,80,100,19.57,overcast clouds
7,Eydhafushi,MV,5.1033,73.0708,82.27,76,86,10.6,overcast clouds
8,Busselton,AU,-33.65,115.3333,51.04,65,8,12.06,clear sky
9,Bethel,US,41.3712,-73.414,60.03,90,1,0.0,clear sky
10,Marawi,PH,7.9986,124.2928,72.86,91,99,0.47,moderate rain
11,Vardo,NO,70.3705,31.1107,52.0,92,100,7.9,overcast clouds
12,Quatre Cocos,MU,-20.2078,57.7625,75.09,67,6,19.73,clear sky
13,Tuatapere,NZ,-46.1333,167.6833,43.83,96,60,4.74,broken clouds
14,Ushuaia,AR,-54.8,-68.3,40.66,70,20,4.61,few clouds
15,Rio Grande,BR,-32.035,-52.0986,44.94,93,32,3.2,light rain
16,Hermanus,ZA,-34.4187,19.2345,62.8,77,66,13.69,broken clouds
17,Dunedin,NZ,-45.8742,170.5036,51.8,89,99,5.01,overcast clouds
18,Alta Floresta,BR,-9.8756,-56.0861,63.73,54,10,3.94,clear sky
19,Junqueiropolis,BR,-21.5147,-51.4336,49.32,81,56,11.18,broken clouds
20,Emerald,AU,-23.5333,148.1667,72.99,27,0,10.33,clear sky
21,Denpasar,ID,-8.65,115.2167,78.46,89,40,16.11,scattered clouds
22,Atuona,PF,-9.8,-139.0333,77.23,64,85,13.82,overcast clouds
23,Kautokeino,NO,69.0125,23.0412,44.4,85,100,13.53,overcast clouds
24,Pisco,PE,-13.7,-76.2167,62.02,88,90,3.44,overcast clouds
25,Sitka,US,57.0531,-135.33,60.69,88,90,8.05,light intensity drizzle
26,Vulcan,RO,45.3833,23.2667,87.71,29,0,7.67,clear sky
27,Komsomolskiy,UZ,40.4272,71.7189,95.72,16,93,6.91,overcast clouds
28,Seoul,KR,37.5683,126.9778,81.79,89,75,5.75,light rain
29,Khatanga,RU,71.9667,102.5,66.54,58,99,9.51,light rain
30,Casper,US,42.8666,-106.3131,60.01,82,1,4.61,haze
31,East London,ZA,-33.0153,27.9116,76.12,28,80,9.69,broken clouds
